id,source,question,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,difficulty,remarks,datetime_added,status,explanation
15,assistant_practice_set_1,A company wants to track quantity of items available in stock.,Item,Inventory,Asset,Location,,B,medium,Inventory tracks stock quantity.,2026-05-02 05:33:29,active,Correct answer: B. Inventory tracks stock quantity.
16,assistant_practice_set_1,Which status comes AFTER INPRG?,WAPPR,COMP,APPR,CLOSE,,B,easy,WAPPR -> APPR -> INPRG -> COMP -> CLOSE.,2026-05-02 05:33:29,active,Correct answer: B. WAPPR -> APPR -> INPRG -> COMP -> CLOSE.
17,assistant_practice_set_1,A company has multiple business units with separate data. What should be configured?,Sites only,Organizations,Workflows,Job Plans,,B,medium,Organizations represent business structure.,2026-05-02 05:33:29,active,Correct answer: B. Organizations represent business structure.
18,assistant_practice_set_1,Which object is used to schedule maintenance tasks automatically?,Workflow,PM,Job Plan,Asset,,B,easy,PM schedules/generates maintenance work.,2026-05-02 05:33:29,active,Correct answer: B. PM schedules/generates maintenance work.
19,assistant_practice_set_1,A company wants to reuse a standard set of tasks for multiple work orders.,PM,Job Plan,Workflow,Item,,B,easy,Reusable task list = Job Plan.,2026-05-02 05:33:29,active,Correct answer: B. Reusable task list = Job Plan.
20,assistant_practice_set_1,Which feature is used to route approvals and processes?,Security Groups,Workflow,PM,Inventory,,B,easy,Workflow routes approvals/processes.,2026-05-02 05:33:29,active,Correct answer: B. Workflow routes approvals/processes.
21,assistant_full_mock_60,A company wants to track movable equipment.,Location,Asset,Item,Work Order,,B,easy,Asset = movable equipment.,2026-05-02 05:33:29,active,Correct answer: B. Asset = movable equipment.
22,assistant_full_mock_60,Which status means waiting for approval?,APPR,WAPPR,INPRG,COMP,,B,easy,WAPPR = waiting approval.,2026-05-02 05:33:29,active,Correct answer: B. WAPPR = waiting approval.
23,assistant_full_mock_60,Automatic maintenance every 30 days is handled by:,Job Plan,PM,Workflow,Work Order,,B,easy,PM handles scheduled preventive maintenance.,2026-05-02 05:33:29,active,Correct answer: B. PM handles scheduled preventive maintenance.
24,assistant_full_mock_60,Job Plan is used for:,Scheduling,Steps and labor,Inventory tracking,Security,,B,medium,Job Plan = steps/labor/materials/tools. User previously missed this.,2026-05-02 05:33:29,active,Correct answer: B. Job Plan = steps/labor/materials/tools. User previously missed this.
25,assistant_full_mock_60,Definition of a spare part:,Inventory,Item,Asset,Location,,B,medium,Item = part definition.,2026-05-02 05:33:29,active,Correct answer: B. Item = part definition.
26,assistant_full_mock_60,Controls user access:,Workflow,Security Groups,Organization,Job Plan,,B,easy,Security Groups control access.,2026-05-02 05:33:29,active,Correct answer: B. Security Groups control access.
27,assistant_full_mock_60,Organizations contain:,Users,Sites,Work Orders,Items,,B,easy,Organization -> Site.,2026-05-02 05:33:29,active,Correct answer: B. Organization -> Site.
28,assistant_full_mock_60,Approval routing uses:,Job Plan,Workflow,PM,Asset,,B,easy,Workflow routes approvals.,2026-05-02 05:33:29,active,Correct answer: B. Workflow routes approvals.
29,assistant_full_mock_60,Stock is stored in:,Location,Site,Storeroom,Asset,,C,medium,Stock/inventory is stored in storerooms.,2026-05-02 05:33:29,active,Correct answer: C. Stock/inventory is stored in storerooms.
30,assistant_full_mock_60,Track failure reasons:,PM,Failure Codes,Workflow,Job Plan,,B,easy,Failure Codes track failure reasons.,2026-05-02 05:33:29,active,Correct answer: B. Failure Codes track failure reasons.
31,assistant_full_mock_60,Work started → status?,WAPPR,APPR,INPRG,CLOSE,,C,easy,Work started = INPRG.,2026-05-02 05:33:29,active,Correct answer: C. Work started = INPRG.
32,assistant_full_mock_60,Hierarchy grouping:,Location,Item,PM,Work Order,,A,medium,Location hierarchy represents physical structure.,2026-05-02 05:33:29,active,Correct answer: A. Location hierarchy represents physical structure.
33,assistant_full_mock_60,Defines maintenance frequency:,Job Plan,PM,Workflow,Asset,,B,easy,PM = frequency/when.,2026-05-02 05:33:29,active,Correct answer: B. PM = frequency/when.
34,assistant_full_mock_60,Defines how work is done:,PM,Job Plan,Workflow,Location,,B,easy,Job Plan = how.,2026-05-02 05:33:29,active,Correct answer: B. Job Plan = how.
35,assistant_full_mock_60,Track stock quantity:,Item,Inventory,Asset,Location,,B,medium,Inventory tracks quantity.,2026-05-02 05:33:29,active,Correct answer: B. Inventory tracks quantity.
36,assistant_full_mock_60,After INPRG:,WAPPR,COMP,APPR,CLOSE,,B,easy,INPRG -> COMP.,2026-05-02 05:33:29,active,Correct answer: B. INPRG -> COMP.
37,assistant_full_mock_60,Separate business units:,Sites,Organizations,Workflows,Items,,B,medium,Organizations separate business structure/data.,2026-05-02 05:33:29,active,Correct answer: B. Organizations separate business structure/data.
38,assistant_full_mock_60,Schedules maintenance:,Workflow,PM,Job Plan,Asset,,B,easy,PM schedules work.,2026-05-02 05:33:29,active,Correct answer: B. PM schedules work.
39,assistant_full_mock_60,Reusable work steps:,PM,Job Plan,Workflow,Item,,B,easy,Job Plan is reusable.,2026-05-02 05:33:29,active,Correct answer: B. Job Plan is reusable.
40,assistant_full_mock_60,Process routing:,Security,Workflow,PM,Inventory,,B,easy,Workflow = process routing.,2026-05-02 05:33:29,active,Correct answer: B. Workflow = process routing.
41,assistant_full_mock_60,Physical place:,Asset,Location,Item,PM,,B,easy,Location = fixed place.,2026-05-02 05:33:29,active,Correct answer: B. Location = fixed place.
42,assistant_full_mock_60,Movable equipment:,Location,Asset,Item,Site,,B,easy,Asset = movable equipment.,2026-05-02 05:33:29,active,Correct answer: B. Asset = movable equipment.
43,assistant_full_mock_60,Inventory belongs to:,Site,Storeroom,Asset,Location,,B,medium,Inventory is associated with storerooms.,2026-05-02 05:33:29,active,Correct answer: B. Inventory is associated with storerooms.
44,assistant_full_mock_60,User permissions:,Workflow,Security Groups,PM,Job Plan,,B,easy,Security Groups.,2026-05-02 05:33:29,active,Correct answer: B. Security Groups.
45,assistant_full_mock_60,Approval status:,APPR,WAPPR,COMP,CLOSE,,A,easy,APPR means approved.,2026-05-02 05:33:29,active,Correct answer: A. APPR means approved.
46,assistant_full_mock_60,Work finished:,INPRG,COMP,APPR,WAPPR,,B,easy,COMP = completed.,2026-05-02 05:33:29,active,Correct answer: B. COMP = completed.
47,assistant_full_mock_60,Final closure:,CLOSE,COMP,APPR,INPRG,,A,easy,CLOSE = finalized.,2026-05-02 05:33:29,active,Correct answer: A. CLOSE = finalized.
48,assistant_full_mock_60,Preventive maintenance generates:,Job Plans,Work Orders,Items,Locations,,B,easy,PM generates Work Orders.,2026-05-02 05:33:29,active,Correct answer: B. PM generates Work Orders.
49,assistant_full_mock_60,Job Plan includes:,Frequency,Tasks and labor,Approval rules,Inventory,,B,medium,Job Plan includes task/labor details.,2026-05-02 05:33:29,active,Correct answer: B. Job Plan includes task/labor details.
50,assistant_full_mock_60,PM uses:,Frequency,Security,Inventory,Workflow,,A,easy,PM uses frequency/time/meter.,2026-05-02 05:33:29,active,Correct answer: A. PM uses frequency/time/meter.
51,assistant_full_mock_60,Multiple sites belong to:,Organization,Location,Item,PM,,A,easy,Organization contains sites.,2026-05-02 05:33:29,active,Correct answer: A. Organization contains sites.
52,assistant_full_mock_60,Asset belongs to:,Organization,Site,Workflow,Job Plan,,B,hard,User missed this before. Asset is site-level data.,2026-05-02 05:33:29,active,Correct answer: B. User missed this before. Asset is site-level data.
53,assistant_full_mock_60,Failure tracking uses:,Codes,PM,Workflow,Inventory,,A,easy,Failure Codes.,2026-05-02 05:33:29,active,Correct answer: A. Failure Codes.
54,assistant_full_mock_60,Workflow controls:,Access,Process,Inventory,Assets,,B,easy,Workflow controls process.,2026-05-02 05:33:29,active,Correct answer: B. Workflow controls process.
55,assistant_full_mock_60,Security controls:,Process,Access,Inventory,PM,,B,easy,Security controls access.,2026-05-02 05:33:29,active,Correct answer: B. Security controls access.
56,assistant_full_mock_60,Inventory tracks:,Quantity,Location,Assets,Users,,A,hard,User missed this before. Inventory = quantity/stock levels.,2026-05-02 05:33:29,active,Correct answer: A. User missed this before. Inventory = quantity/stock levels.
57,assistant_full_mock_60,Item represents:,Stock,Definition,Asset,Workflow,,B,hard,User missed this before. Item = definition.,2026-05-02 05:33:29,active,Correct answer: B. User missed this before. Item = definition.
58,assistant_full_mock_60,Asset is:,Fixed,Movable,Inventory,Workflow,,B,easy,Asset = movable.,2026-05-02 05:33:29,active,Correct answer: B. Asset = movable.
59,assistant_full_mock_60,Location is:,Movable,Fixed,Inventory,Item,,B,easy,Location = fixed.,2026-05-02 05:33:29,active,Correct answer: B. Location = fixed.
60,assistant_full_mock_60,Work Order flow starts at:,WAPPR,APPR,INPRG,COMP,,A,easy,WAPPR usually starts workflow.,2026-05-02 05:33:29,active,Correct answer: A. WAPPR usually starts workflow.
61,assistant_full_mock_60,PM requires:,Frequency,Security,Workflow,Inventory,,A,easy,PM requires schedule/frequency/meter.,2026-05-02 05:33:29,active,Correct answer: A. PM requires schedule/frequency/meter.
62,assistant_full_mock_60,Job Plan is reusable:,True,False,Sometimes,Only for PM,,A,easy,Job Plans are reusable.,2026-05-02 05:33:29,active,Correct answer: A. Job Plans are reusable.
63,assistant_full_mock_60,Inventory needs:,Storeroom,Asset,Workflow,PM,,A,hard,User missed this before. Inventory needs storeroom.,2026-05-02 05:33:29,active,Correct answer: A. User missed this before. Inventory needs storeroom.
64,assistant_full_mock_60,Organization defines:,Structure,Tasks,Inventory,Assets,,A,medium,Organization defines business structure.,2026-05-02 05:33:29,active,Correct answer: A. Organization defines business structure.
65,assistant_full_mock_60,Site defines:,Business unit,Physical area,Workflow,Security,,B,medium,Site is a physical/operational area under organization.,2026-05-02 05:33:29,active,Correct answer: B. Site is a physical/operational area under organization.
66,assistant_full_mock_60,Approval process uses:,Workflow,PM,Job Plan,Asset,,A,easy,Approval process uses workflow.,2026-05-02 05:33:29,active,Correct answer: A. Approval process uses workflow.
67,assistant_full_mock_60,Work Order needs approval before work:,True,False,Optional,Depends,,D,hard,Trick: depends on workflow/configuration.,2026-05-02 05:33:29,active,Correct answer: D. Trick: depends on workflow/configuration.
68,assistant_full_mock_60,Failure codes help:,Analysis,Scheduling,Inventory,Security,,A,easy,Failure codes support analysis.,2026-05-02 05:33:29,active,Correct answer: A. Failure codes support analysis.
69,assistant_full_mock_60,PM generates work based on:,Time,Inventory,Security,Workflow,,A,easy,PM can be time/meter based; time is best option here.,2026-05-02 05:33:29,active,Correct answer: A. PM can be time/meter based; time is best option here.
70,assistant_full_mock_60,Job Plan can be used with:,Work Orders,PM,Both,None,,C,medium,Job Plans can be used with WOs and PMs.,2026-05-02 05:33:29,active,Correct answer: C. Job Plans can be used with WOs and PMs.
71,assistant_full_mock_60,Security group assigns:,Permissions,Tasks,Inventory,Locations,,A,easy,Security Groups assign permissions.,2026-05-02 05:33:29,active,Correct answer: A. Security Groups assign permissions.
72,assistant_full_mock_60,Workflow defines:,Steps,Access,Inventory,Assets,,A,medium,Workflow defines process/approval steps.,2026-05-02 05:33:29,active,Correct answer: A. Workflow defines process/approval steps.
73,assistant_full_mock_60,Asset can move between:,Locations,Sites,Organizations,Workflows,,A,easy,Assets can move between locations.,2026-05-02 05:33:29,active,Correct answer: A. Assets can move between locations.
74,assistant_full_mock_60,Inventory is linked to:,Storeroom,Workflow,PM,Asset,,A,medium,Inventory is linked to storeroom.,2026-05-02 05:33:29,active,Correct answer: A. Inventory is linked to storeroom.
75,assistant_full_mock_60,PM + Job Plan combination means:,When + How,Who + Where,Inventory + Asset,Security + Workflow,,A,easy,PM = when; Job Plan = how.,2026-05-02 05:33:29,active,Correct answer: A. PM = when; Job Plan = how.
76,assistant_full_mock_60,Location hierarchy is used for:,Structure,Inventory,Workflow,PM,,A,medium,Location hierarchy represents structure.,2026-05-02 05:33:29,active,Correct answer: A. Location hierarchy represents structure.
77,assistant_full_mock_60,Work Order tracks:,Work performed,Inventory,Security,Users,,A,easy,Work Order tracks work.,2026-05-02 05:33:29,active,Correct answer: A. Work Order tracks work.
78,assistant_full_mock_60,Item can exist without inventory:,True,False,Sometimes,Only in PM,,A,hard,User missed this before. Item can exist without stock.,2026-05-02 05:33:29,active,Correct answer: A. User missed this before. Item can exist without stock.
79,assistant_full_mock_60,Work Order can be generated from:,PM,Manual,Both,None,,C,easy,WOs can be manual or PM-generated.,2026-05-02 05:33:29,active,Correct answer: C. WOs can be manual or PM-generated.
80,assistant_full_mock_60,Maximo is primarily:,CRM,ERP,EAM,HR System,,C,hard,User missed this before. Maximo is Enterprise Asset Management.,2026-05-02 05:33:29,active,Correct answer: C. User missed this before. Maximo is Enterprise Asset Management.
81,assistant_hard_set_20,A company wants maintenance every 60 days with predefined steps.,Job Plan only,PM only,PM + Job Plan,Workflow,,C,hard,PM + Job Plan = scheduled + standardized maintenance.,2026-05-02 05:33:29,active,Correct answer: C. PM + Job Plan = scheduled + standardized maintenance.
82,assistant_hard_set_20,A company wants to restrict user access to certain applications.,Workflow,Security Groups,Organization,PM,,B,medium,Security Groups restrict access.,2026-05-02 05:33:29,active,Correct answer: B. Security Groups restrict access.
83,assistant_hard_set_20,A spare part is defined but not stocked anywhere. What object exists?,Inventory,Asset,Item,Location,,C,hard,Item can exist without inventory.,2026-05-02 05:33:29,active,Correct answer: C. Item can exist without inventory.
84,assistant_hard_set_20,"A technician needs approval before work begins, but some work orders do not require approval. Why?",Job Plan,Workflow configuration,PM settings,Asset hierarchy,,B,hard,Approval depends on workflow/configuration.,2026-05-02 05:33:29,active,Correct answer: B. Approval depends on workflow/configuration.
85,assistant_hard_set_20,Where is inventory quantity tracked?,Item,Asset,Storeroom,Location,,C,hard,User missed this. Inventory quantity is tracked in storeroom/inventory context.,2026-05-02 05:33:29,active,Correct answer: C. User missed this. Inventory quantity is tracked in storeroom/inventory context.
86,assistant_hard_set_20,A company wants to reuse a list of tasks across multiple maintenance jobs.,PM,Job Plan,Workflow,Asset,,B,medium,Reusable task list = Job Plan.,2026-05-02 05:33:29,active,Correct answer: B. Reusable task list = Job Plan.
87,assistant_hard_set_20,A company wants to automatically create work orders based on time.,Job Plan,Workflow,PM,Inventory,,C,medium,PM automatically creates WOs based on schedule/meter.,2026-05-02 05:33:29,active,Correct answer: C. PM automatically creates WOs based on schedule/meter.
88,assistant_hard_set_20,Which object defines the physical structure of a plant?,Asset,Location,Item,PM,,B,hard,User missed this. Plant structure = Location hierarchy.,2026-05-02 05:33:29,active,Correct answer: B. User missed this. Plant structure = Location hierarchy.
89,assistant_hard_set_20,An asset is moved from one location to another. What changes?,Organization,Site,Location,Item,,C,medium,Asset's location changes.,2026-05-02 05:33:29,active,Correct answer: C. Asset's location changes.
90,assistant_hard_set_20,A company wants to analyze reasons for failures over time.,PM,Workflow,Failure Codes,Job Plan,,C,medium,Failure Codes help analyze reasons for failures.,2026-05-02 05:33:29,active,Correct answer: C. Failure Codes help analyze reasons for failures.
91,assistant_hard_set_20,Which combination ensures standardized and scheduled maintenance?,Workflow + Security,PM + Job Plan,Asset + Location,Inventory + Item,,B,hard,PM = schedule; Job Plan = standard steps.,2026-05-02 05:33:29,active,Correct answer: B. PM = schedule; Job Plan = standard steps.
92,assistant_hard_set_20,A company defines items but has not yet stocked them. What is TRUE?,Inventory exists,Items cannot exist,Items exist without inventory,Assets are created,,C,hard,Item definitions can exist without inventory.,2026-05-02 05:33:29,active,Correct answer: C. Item definitions can exist without inventory.
93,assistant_hard_set_20,Which component determines whether approval is required?,Job Plan,Workflow,PM,Security,,B,hard,Approval behavior is controlled by workflow/configuration.,2026-05-02 05:33:29,active,Correct answer: B. Approval behavior is controlled by workflow/configuration.
94,assistant_hard_set_20,Which is responsible for defining business structure?,Workflow,Organization,Job Plan,PM,,B,medium,Organization defines business structure.,2026-05-02 05:33:29,active,Correct answer: B. Organization defines business structure.
95,assistant_hard_set_20,A company wants to track actual stock levels.,Item,Inventory,Asset,Location,,B,medium,Inventory tracks stock levels.,2026-05-02 05:33:29,active,Correct answer: B. Inventory tracks stock levels.
96,assistant_hard_set_20,Which statement is TRUE?,Location is movable,Asset is fixed,Asset is movable,Item is movable,,C,easy,Asset is movable.,2026-05-02 05:33:29,active,Correct answer: C. Asset is movable.
97,assistant_hard_set_20,A work order is completed but not finalized. What is its status?,CLOSE,COMP,INPRG,APPR,,B,medium,COMP before CLOSE.,2026-05-02 05:33:29,active,Correct answer: B. COMP before CLOSE.
98,assistant_hard_set_20,Which object is required for inventory tracking?,Workflow,Storeroom,PM,Asset,,B,hard,Storeroom is required for inventory tracking.,2026-05-02 05:33:29,active,Correct answer: B. Storeroom is required for inventory tracking.
99,assistant_hard_set_20,A company wants to control who can access modules.,Workflow,Security Groups,Job Plan,PM,,B,medium,Security Groups control module/application access.,2026-05-02 05:33:29,active,Correct answer: B. Security Groups control module/application access.
100,assistant_hard_set_20,Maximo primarily supports:,CRM,ERP,EAM,HR,,C,medium,Maximo = Enterprise Asset Management.,2026-05-02 05:33:29,active,Correct answer: C. Maximo = Enterprise Asset Management.
101,ibm_sample_pdf_C1000-183,Which Maximo Application Suite product leverages historical and near real-time asset performance data and maintenance records to correlate performance factors that forecast asset degradation or failure?,Health,Assist,Predict,Manage,,C,hard,Official IBM sample. MAS product knowledge: Predict forecasts degradation/failure.,2026-05-02 05:33:29,active,Correct answer: C. Official IBM sample. MAS product knowledge: Predict forecasts degradation/failure.
102,ibm_sample_pdf_C1000-183,Which Access Type ensures the user can login independent of the current AppPoint balance?,Prolonged,Persistent,Authorized,Concurrent,,C,hard,Official IBM sample. AppPoint/access type detail.,2026-05-02 05:33:29,active,Correct answer: C. Official IBM sample. AppPoint/access type detail.
103,ibm_sample_pdf_C1000-183,What system was the Cost Management application designed to be interfaced with?,Jira,SAP,SalesForce,Oracle Projects,,D,hard,Official IBM sample. Financial configuration detail.,2026-05-02 05:33:29,active,Correct answer: D. Official IBM sample. Financial configuration detail.
104,ibm_sample_pdf_C1000-183,How can a site be disabled?,Delete the site,Make the site inactive,Change the status to decommissioned,Move the site to a decommissioned location,,B,medium,Official IBM sample. A site can be disabled by making it inactive.,2026-05-02 05:33:29,active,Correct answer: B. Official IBM sample. A site can be disabled by making it inactive.
105,ibm_sample_pdf_C1000-183,Which Operational Dashboard card is utilized to display a list of records for the user to review and act on?,Value,Result set,Work queues,Quick actions,,C,hard,Official IBM sample. Work queues display records to review/act on.,2026-05-02 05:33:29,active,Correct answer: C. Official IBM sample. Work queues display records to review/act on.
106,ibm_sample_pdf_C1000-183,In which application is Revision Control for Job Plans enabled?,Job Plans,Organizations,System Properties,Database Configuration,,B,hard,Official IBM sample. Revision control for Job Plans is enabled in Organizations.,2026-05-02 05:33:29,active,Correct answer: B. Official IBM sample. Revision control for Job Plans is enabled in Organizations.
107,ibm_sample_pdf_C1000-183,Which two are correct statements regarding Admin Mode?,Only users in MAXADMIN group can turn Admin Mode on,New Relationships do not require Admin Mode to be created,All Cron Tasks need to be disabled before turning Admin Mode on,Users are not allowed to log in to MAS Manage during Admin Mode,It is possible to run Configure Database action when Admin Mode is off,"B,E",hard,"Official IBM sample. Multi-answer question. Correct answers: B,E.",2026-05-02 05:33:29,active,"Correct answer: B,E. Official IBM sample. Multi-answer question. Correct answers: B,E."
108,ibm_sample_pdf_C1000-183,There is data from an external system that needs to be manipulated. Which type of Automation Script Launch Point would be used?,Action,Condition,Integration,Enterprise Service,,C,hard,Official IBM sample. Integration launch point handles external system data.,2026-05-02 05:33:29,active,Correct answer: C. Official IBM sample. Integration launch point handles external system data.
109,ibm_sample_pdf_C1000-183,Which option should be chosen in the Failure Codes application to copy an entire Failure Code hierarchy?,Revise Failure Code,Rename Failure Code,Copy Failure Hierarchy,Duplicate Failure Code,,D,hard,Official IBM sample. Correct answer from sample key: Duplicate Failure Code.,2026-05-02 05:33:29,active,Correct answer: D. Official IBM sample. Correct answer from sample key: Duplicate Failure Code.
110,ibm_sample_pdf_C1000-183,Which Failure Code components make up a Failure Class hierarchy?,"Problems, Causes, Remedies","Symptoms, Causes, Resolutions","Problems, Symptoms, Resolutions","Issues, Sources, Restorative Actions",,A,medium,"Official IBM sample. Failure hierarchy = Problems, Causes, Remedies.",2026-05-02 05:33:29,active,"Correct answer: A. Official IBM sample. Failure hierarchy = Problems, Causes, Remedies."
111,ibm_sample_pdf_C1000-183,Which feature in the Issues and Transfers mobile application is used to obtain planned materials?,Ship,Issue,Stage,Transfer,,B,hard,Official IBM sample. Issue obtains planned materials.,2026-05-02 05:33:29,active,Correct answer: B. Official IBM sample. Issue obtains planned materials.
112,ibm_sample_pdf_C1000-183,What are two valid types of Purchase Contracts?,Price,Lease,Blanket,Warranty,Subscription,"A,C",hard,Official IBM sample. Multi-answer. Correct answers: Price and Blanket.,2026-05-02 05:33:29,active,"Correct answer: A,C. Official IBM sample. Multi-answer. Correct answers: Price and Blanket."
113,ibm_sample_pdf_C1000-183,"In the Work Order Tracking application, what must be set on the work order to use work process flows?",Enable Under Flow Control,Enable Apply Sequence Logic,Add an associated active Work Queue,Add an associated active Workflow Process,,A,hard,Official IBM sample. Under Flow Control must be enabled.,2026-05-02 05:33:29,active,Correct answer: A. Official IBM sample. Under Flow Control must be enabled.
114,ibm_sample_pdf_C1000-183,Which application is used to set the Work Priority Calculation (CALCPRIORITY) formula?,Formulas,Work View,Assignment Manager,Work Order Tracking,,C,hard,Official IBM sample. CALCPRIORITY formula is set in Assignment Manager.,2026-05-02 05:33:29,active,Correct answer: C. Official IBM sample. CALCPRIORITY formula is set in Assignment Manager.
115,ibm_sample_pdf_C1000-183,"When using AI with Work Orders, what is the key field used to determine the recommended Problem Code?",Failure Remarks,Work Log Description,Work Order Description,Work Assignment Remarks,,C,hard,Official IBM sample. Work Order Description is key.,2026-05-02 05:33:29,active,Correct answer: C. Official IBM sample. Work Order Description is key.
116,ibm_sample_pdf_C1000-183,What determines the accuracy of the AI model that enables it to predict the correct problem code to apply to a work order?,The number of PM Work Orders used to train the model,The number of Problem Codes identified on the Failure Class,The selection of Work Orders that have detailed Work Log entries,The selection of Work Orders that have sufficient Description detail,,D,hard,Official IBM sample. Sufficient Description detail improves model accuracy.,2026-05-02 05:33:29,active,Correct answer: D. Official IBM sample. Sufficient Description detail improves model accuracy.
117,ibm_sample_pdf_C1000-183,What information is reviewed for a schedule on the Scheduling Dashboard?,"Resource utilization, resource leveling, work order costs","Resource utilization, resource leveling, scheduling issues","Work order dependencies, work order costs, PM forecast","Schedule compliance factor, work order dependencies, scheduling issues",,B,hard,"Official IBM sample. Scheduler dashboard reviews utilization, leveling, issues.",2026-05-02 05:33:29,active,"Correct answer: B. Official IBM sample. Scheduler dashboard reviews utilization, leveling, issues."
118,ibm_sample_pdf_C1000-183,What technology does Maximo Optimizer embed for solving optimization models?,IBM watsonx.ai,IBM Cloud Pak for Data,IBM Cloud Pak for Automation,IBM ILOG CPLEX Optimization Studio,,D,medium,Official IBM sample. Maximo Optimizer embeds IBM ILOG CPLEX Optimization Studio.,2026-05-02 05:33:29,active,Correct answer: D. Official IBM sample. Maximo Optimizer embeds IBM ILOG CPLEX Optimization Studio.
119,ibm_sample_pdf_C1000-183,What action is used to apply a Service Level Agreement (SLA) on a Service Request or Work Order with a commitment type of OTHER?,Apply SLAs,Select SLAs,Apply Other SLAs,Select/Deselect SLAs,,D,hard,Official IBM sample. SLA with commitment type OTHER uses Select/Deselect SLAs.,2026-05-02 05:33:29,active,Correct answer: D. Official IBM sample. SLA with commitment type OTHER uses Select/Deselect SLAs.
120,ibm_sample_pdf_C1000-183,What is the purpose of the Assets and Locations tab on the Service Level Agreements (SLA) application when the 'Applies To' is set to ASSET?,To calculate SLAs associated with Reliability Strategies,"It displays Assets, Locations or Asset Types associated with SLAs","To calculate SLAs associated with Availability, Capacity or IT asset downtime",Used in the matching process when using the Apply SLAs action in the Assets application,,B,hard,"Official IBM sample. Tab displays associated assets, locations, or asset types.",2026-05-02 05:33:29,active,"Correct answer: B. Official IBM sample. Tab displays associated assets, locations, or asset types."
